Topic,URLA,URLB,Similarity,Intent,Recommendation
"Guiando tem 20 vagas abertas 100% remoto | Blog Mclair","https://mclair.com.br/blog/guiando-tem-20-vagas-abertas-100-remoto-1/","https://mclair.com.br/blog/guiando-tem-20-vagas-abertas-100-remoto/","1.00","mesma tipologia","revisar títulos, possível sobreposição"
"O | Blog Mclair","https://mclair.com.br/blog/o/","https://mclair.com.br/blog/sem-g-nao-da/","1.00","mesma tipologia","revisar títulos, possível sobreposição"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/vip-leiloes/","0.88","mesma tipologia","revisar títulos, possível sobreposição"
"Case VIP Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/globo-leiloes/","https://mclair.com.br/cases/vip-leiloes/","0.88","mesma tipologia","revisar títulos, possível sobreposição"
"Case Globo Leilões | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/fidalgo/","https://mclair.com.br/cases/globo-leiloes/","0.78","mesma tipologia","revisar títulos, possível sobreposição"
"Projeto Zé Conecta amplia inclusão digital a alunos… | Mclair","https://mclair.com.br/blog/projeto-ze-conecta-amplia-a-inclusao-digital-para-alunos-da-fundacao-j/","https://mclair.com.br/blog/projeto-ze-conecta-amplia-inclusao-digital-a-alunos-em-situacao-vulner/","0.75","mesma tipologia","monitorar"
"Case Insight RH | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/insight-rh/","0.75","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/lambda3/","0.75","mesma tipologia","monitorar"
"Case Elemar Jr. | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/vip-leiloes/","0.75","mesma tipologia","monitorar"
"Case Zbra | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/elemar-jr/","https://mclair.com.br/cases/zbra/","0.75","mesma tipologia","monitorar"
"Case Lambda3 | Mclair: Marketing de Autoridade e Comunicação Estratégica","https://mclair.com.br/cases/insight-rh/","https://mclair.com.br/cases/lambda3/","0.75","mesma tipologia","monitorar"
